TF	Variance explained	Nr of genes
Chd8	0.49271369090605416	7017
Clock	0.44087440570070513	9696
Creb1	0.44788127665998684	13157
Creb3l2	0.5206482870638655	3008
Crebbp	0.46532267187002413	13186
Crtc2	0.46047674270881483	2826
Crx	0.49815145262325616	1408
Cry1	0.4398547581719114	15
Ctcf	0.45957491391377614	15457
Ctcfl	0.46632035266701233	3483
Ctnnb1	0.452843364376908	2368
Ctr9	0.48530322448953966	2424
Cux2	0.529491256295813	35
Cxxc1	0.4874823375240446	10911
Cxxc5	0.5394793856572743	949
Daxx	0.4809530239115282	190
Ddit3	0.3951481916136495	117
Ddx21	0.4731606428723676	11312
Ddx5	0.5099504241055995	5
Dgcr8	0.4651268813477447	751
Dicer1	0.4550342805270969	588
Dlx1	0.5248817483428821	4
Dlx3	0.509896249047947	1887
Dmap1	0.4869788430282446	6261
Dmc1	0.46108879905018385	11416
Dmrt1	0.4254922457694659	1143
Dmrtb1	0.5205187535956102	335
Dnajc2	0.6100584014843909	6
Dnmt3a	0.4987848252417479	121
Dnmt3b	0.4889216742983657	14
Dpf2	0.47819451000996266	740
Dppa2	0.46641635695856587	12389
Dppa4	0.4700053359712275	12540
Dpy30	0.4849145771193073	7368
Dr1	0.4652162140745091	13465
Drosha	0.44453985402349744	32
Duxbl1	0.43475022503634364	1138
E2f1	0.47088556599138814	5233
E2f3	0.47229361585694896	6641
E2f4	0.4666179141806375	8081
E4f1	0.5600732448031677	120
Ebf1	0.42562573027518297	3313
Ebf2	0.4637977225207882	11838
Ebf4	0.5042926865592194	2511
Eed	0.6073750873996058	2360
Egr1	0.43286606943532135	2005
Egr2	0.46537882340433845	9326
Ehf	0.4461269135120486	500
Ehmt2	0.6444155355357817	43
Elf1	0.46887114733114194	7289
Elf4	0.45305091557635574	7620
Elf5	0.4487361316290369	8065
Elk1	0.5432027289156642	3876
Elk3	0.5214085413448366	6
Elk4	0.5063543676977553	230
Ell	0.4798042611020569	277
Ell2	0.363316237101994	231
Ell3	0.47855646627873566	2280
Elob	0.523957860070443	927
Eomes	0.45774778318293824	1011
Ep300	0.4478291093710918	15855
Ep400	0.4609272146997965	2158
Epop	0.4690486358767234	11111
Ercc3	0.4165372610965374	30
Erf	0.4641742432296257	9744
Erg	0.4396391222837783	12358
Esr1	0.4549634972470357	12901
Esrra	0.45706119001552686	7232
Esrrb	0.4452511089057751	6783
Esrrg	0.49995547106281735	27
Ets1	0.4431124600898207	11336
Ets2	0.46352916592694765	10313
Etv2	0.5178823356455918	14
Etv5	0.47619973618023004	8490
Etv6	0.52178949760926	3192
Ezh1	0.4351835052823221	124
Ezh2	0.474369736240548	12030
Fbxo21	0.5078087267103828	2113
Fgfr1	0.4564791524487707	10339
Fli1	0.4433132668012657	12374
Fos	0.43801576733135145	8324
Fosb	0.49471581960842614	490
Fosl1	0.45301280542861855	8509
Fosl2	0.43303921508037696	5505
Foxa1	0.42933611100073077	8534
Foxa2	0.45593670134324643	13042
Foxa3	0.4460444915514604	256
Foxf1	0.4534658240154792	10758
Foxg1	0.49736798244826264	578
Foxh1	0.46849272780860207	13000
Foxj2	0.5357169514722316	561
Foxk1	0.477457553931956	801
Foxl2	0.48417471481489693	7154
Foxo1	0.49754447249184175	2493
Foxo3	0.45258069154789005	1919
Foxp1	0.4779819391300627	12115
Foxp3	0.46306651324922676	10041
Gabpa	0.46723552814757935	8197
Gad1	0.4751901855331883	474
Gadd45a	0.5525339017085905	8
Gata1	0.4567416139703385	8027
Gata2	0.45094555472657066	10961
Gata3	0.4509717558981241	9846
Gata4	0.4601859130073842	13291
Gata6	0.4025806806175149	948
Gckr	0.5235668558365031	2936
Gcm1	1.0	1
Gfi1	0.4663314390702519	13111
Gfi1b	0.471498835585999	5721
Gli1	0.4052705867273398	102
Gli2	0.3970118715647957	204
Gli3	0.46237458713568697	11048
Glis3	1.0	1
Glyr1	0.49585644131686757	4
Gmnn	0.4672768390525657	277
Gps2	0.4162735274188548	6321
Grhl2	0.4389435718983447	1185
Grhl3	0.4705531733675593	679
Grip1	0.40423947582958064	427
Gtf2a2	0.45569675970232865	14
Gtf2b	0.45788084543857777	11024
Gtf2e2	0.4368260175107363	6146
Gtf2f1	0.5325042424496096	4
Gtf3c1	0.47436185915846374	11894
Gtf3c2	0.434479629117269	106
Gtf3c4	0.48659884058677266	60
Hand1	0.4613242723945123	100
Hand2	0.46473710370411414	10271
Hcfc1	0.4536592583297488	11089
Hdac1	0.45785519306930084	11478
Hdac2	0.4511099514546572	13408
Hdac3	0.4482950023115981	11551
Hdac4	0.4512081361252216	576
Hells	0.49095821493128033	1841
Hexim1	0.46977643905320626	11190
Hic2	0.43180496104155003	801
Hif1a	0.48385491649380297	3105
Hira	0.5667783243263432	10
Hmga2	1.0	1
Hmgn2	0.3655883366948366	19
Hnf1a	0.4598579599910051	860
Hnf1b	0.4274277758827015	269
Hnf4a	0.4354617523792073	10161
Hnf4g	0.41080027742526104	3898
Hnrnpk	0.4091907198851846	103
Hnrnpl	0.7647226126299665	5
Hnrnpu	0.47566858357032454	3715
Hopx	0.47762910694282834	7931
Hoxa11	0.5576443620671834	90
Hoxa13	0.4340815017597669	2185
Hoxb1	0.4652673476632177	6034
Hoxb4	0.46399152549153533	5682
Hoxc10	0.4908077476230594	45
Hoxc6	0.3875282501729403	17
Hoxd13	0.44657345110067553	1336
Hsf1	0.42669161310762616	982
Hsf2	0.6575195047665024	3
Htatsf1	0.5126225489657672	3425
Htt	0.6411031017569024	4
Id2	0.4851342119558504	4295
Ikzf1	0.44936339681939785	11372
Ikzf2	0.523632011743361	1623
Ikzf3	0.5126679889297161	485
Ing1	0.7249157744408786	6
Ino80	0.48135073259222344	10041
Insm1	0.4755942350793254	11573
Irf1	0.40541518313295377	2519
Irf2	0.4749995153031912	1860
Irf2bp2	0.38746529278049596	703
Irf3	0.4395389979732566	4506
Irf4	0.44883700752078837	12272
Irf5	0.4485046461972517	7587
Irf7	0.4940363422658674	726
Irf8	0.44495607178085944	8252
Irf9	0.4691684908454206	6787
Isl1	0.47723509399686487	10690
Jarid2	0.48892395505071895	8688
Jmjd1c	0.47737451599262437	126
Jmjd6	0.4459258636621436	1287
Jun	0.44386414915197264	12488
Junb	0.418270666230435	6263
Jund	0.44006058105688883	12083
Kansl3	0.5102115445170833	6675
Kat2a	0.4633766909158867	8786
Kat2b	0.5430980195817213	5
Kat5	0.46927334822626215	9351
Kat8	0.4985769268883669	5944
Kdm1a	0.45522411672885593	14456
Kdm2a	0.4890455755885294	6242
Kdm2b	0.4749635606590013	12445
Kdm3a	0.508309031711863	24
Kdm3b	0.7894150108463437	3
Kdm4a	0.5371524688576272	3389
Kdm4c	0.46516365131078774	13899
Kdm4d	0.6485408345929511	4
Kdm5a	0.4654738375733436	10511
Kdm5b	0.44268223654316613	14
Kdm5c	0.507672507601592	660
Kdm6a	0.48965630794355786	6889
Kdm6b	0.47894168806785925	8643
Klf3	0.46648875948382457	6638
Klf4	0.4595585996101164	13513
Klf5	0.4638777688351013	6944
Klf6	0.4676069141485858	48
Klf9	0.47587972947567947	1320
Kmt2a	0.45073150212966434	10332
Kmt2b	0.47234946507390596	13193
Kmt2c	0.4575964108421263	12335
Kmt2d	0.45358124393157295	13450
L3mbtl2	0.5146522905722913	145
Ldb1	0.4660397939218774	2492
Lef1	0.5037953714674588	35
Leo1	0.4421414943633899	1110
Lhx2	0.46701251720669235	802
Lhx3	0.471939850422259	2003
Lhx6	0.4815431152069859	1308
Lin9	0.4628963866822415	1880
Lmnb1	0.4849961334702321	777
Lmo2	0.4511370340128818	9509
Lmx1b	0.5874837146158048	13
Lrrfip1	0.5176116712119636	1209
Lyl1	0.37189820295327	806
Maf	0.42922434971976325	3168
Mafa	0.41206737438129026	308
Mafb	0.4310378038248373	3226
Maff	0.4594942193181609	4152
Mafg	0.4174269148835179	39
Mafk	0.4520272462476072	7003
Mapk8	0.5176095790483518	4042
Max	0.44947811292092565	11746
Maz	0.45400817175400526	9631
Mbd1	0.5567033134328254	373
Mbd2	0.5275158393965561	58
Mbd3	0.4651316240561272	13819
Mcrs1	0.5056346072872584	7139
Mecp2	0.42949030648117964	3845
Med1	0.449003130838147	14117
Med12	0.4608361024017278	12785
Med23	0.5973402293610899	39
Med24	0.4693362126600247	10567
Med26	0.46735859845205724	10482
Mef2a	0.508356436530504	375
Mef2c	0.4650154899693423	10013
Mef2d	0.4650725983702643	1984
Meis1	0.4475212345707047	11345
Men1	0.46678789584528796	9595
Mettl3	0.463256699501559	12652
Mitf	0.4733319160745598	1743
Mllt3	0.777877752610507	3
Mnx1	0.42701314875528934	71
Morc3	0.511525541038976	354
Mphosph8	0.4664869443945622	743
Mpnd	0.7194285322646355	3
Msl1	0.4981583111002905	1053
Msl2	0.5019498506553799	3571
Mta1	0.6045000953424042	4
Mta2	0.45887502212538167	11802
Mtf2	0.5805615367145319	4110
Mtor	0.4852327893717056	797
Mxi1	0.4511547048549524	10654
Myb	0.4819750708714366	4446
Mybl1	0.4613434037494973	3128
Myc	0.45310727814106505	14541
Mycn	0.48264461907417344	4461
Myf5	0.454310138972319	6581
Myo1c	0.5258999911324744	6
Myod1	0.45960018790495405	11374
Myog	0.46176486996243654	8976
Myt1	0.41088402124993206	71
Myt1l	0.4917372493856911	1190
Naa10	0.6487156249141401	6
Nacc1	0.5217518924506791	42
Nanog	0.45857687811611814	14883
Nap1l1	0.4300761798424905	229
Nbn	0.5149033578027262	43
Ncapd3	0.47582451178119123	7687
Ncapg	0.6060767157171347	11
Ncaph2	0.47463153949995024	11437
Ncoa2	0.45256733046017483	8181
Ncoa3	0.41639288620341314	1320
Ncor1	0.43898606982979604	12273
Ncor2	0.4792706996248997	11479
Nelfa	0.45828793840190996	11926
Nelfb	0.47476568689324516	8325
Nelfe	0.44730796498793635	10610
Neurod1	0.468270077786514	10537
Neurod2	0.4759980441380662	11387
Neurog2	0.4679347116026003	11202
Nfat5	0.5924779200612296	64
Nfatc1	0.41491004181555824	212
Nfatc2	0.4087436718646729	866
Nfe2	0.44645868148152845	673
Nfe2l1	0.4741560103374563	582
Nfe2l2	0.4838963392926766	5087
Nfia	0.4543882333727913	2750
Nfib	0.4394257733143142	8473
Nfic	0.7527988174427817	7
Nfil3	0.42970682226535256	2305
Nfkb1	0.4441097963209289	238
Nfya	0.4593467642642937	3446
Nfyb	0.4303754476793671	1790
Nfyc	0.4299474965508562	1849
Nipbl	0.4508678815813884	12561
Nkx2-1	0.45141389407571286	3608
Nkx2-2	0.4835392816983287	5541
Nkx2-5	0.47173996096513104	6143
Nkx3-1	0.4589535981770783	3205
Nkx3-2	0.4694591432118269	107
Nkx6-1	0.4837193126100131	7457
Nlrc5	0.5150239414689205	278
Nono	0.6175491874210564	28
Notch1	0.46805085341802244	6866
Npas3	0.4797803892209132	7385
Nr0b1	0.47081533147988686	4244
Nr0b2	0.5036097245116541	1023
Nr1d1	0.4445649195915948	11179
Nr1d2	0.42725315329581637	745
Nr1h2	0.44989732669564303	9713
Nr1h3	0.4015101637250166	3562
Nr1h4	0.41658167288737874	1908
Nr2f2	0.5233460518996796	46
Nr3c1	0.44065876278297766	14273
Nr4a1	0.43637707851293167	7193
Nr5a1	0.4713675738927834	1521
Nr5a2	0.41475056686918615	2466
Nrf1	0.4679036547319609	13091
Nsl1	0.5542486291994665	1933
Nucks1	0.38668692582335207	13
Nup153	0.5598361907236206	5
Nup98	0.4841473729423682	803
Obox1	0.4830668087465779	1161
Ogdh	0.4947851975128333	5501
Ogt	0.44299240899390674	542
Olig2	0.48054570343175235	12275
Onecut1	0.42974670191965386	4279
Onecut2	0.47163300742337927	5362
Otx2	0.4597600185250713	11490
Ovol2	0.47925949762572223	451
Paf1	0.4217360093157579	729
Parp1	0.5280638687350162	195
Pax3	0.4888160897455626	501
Pax5	0.4660052142999829	2843
Pax6	0.47094300366054515	10561
Pax7	0.46529695083565015	11527
Paxip1	0.4371519266694135	2941
Pbrm1	0.4737501234428503	5362
Pbx1	0.45255517590555583	5504
Pcgf1	0.5396046192182999	3013
Pcgf2	0.5333525797792675	4642
Pcgf3	0.49583669731444546	165
Pcgf5	0.5249964975243895	17
Pcgf6	0.47455652752974564	5060
Pcna	0.4659875666727746	65
Pdx1	0.4714567543477218	196
Pgr	0.45738235448267683	11802
Phc1	0.6006388797757193	3
Phf19	0.5418642922647927	8
Phf2	0.48369419974046524	4124
Phf20	1.0	1
Phf5a	0.4691572142518613	25
Phf6	0.4724511903552566	9390
Phf8	0.46108757790247756	11117
Phrf1	0.5305919019071148	14
Pitx1	0.462885585751352	2837
Pknox1	0.44729031746783177	9524
Plagl1	0.47892920053237714	3417
Pml	0.7846976871732694	3
Pou2af1	0.49250674777486925	6027
Pou2f1	0.471735166162126	8874
Pou2f3	0.47926991368823213	320
Pou3f1	0.46276600319235944	490
Pou3f2	0.48666741844217865	2646
Pou5f1	0.4616002556644035	14781
Ppara	0.4418083365695738	9805
Pparg	0.44734083737084535	12879
Prdm1	0.4055262431933671	1759
Prdm13	0.4892974053037632	7256
Prdm14	0.43534214443020686	150
Prdm15	0.4669646819573815	12991
Prdm16	0.4425682157274501	7414
Prdm5	0.4664990244453348	684
Prdm9	0.4622629082517294	5240
Prmt5	0.5363192654240154	2
Prox1	0.40344148593338597	3868
Psip1	0.6053352698371461	3
Ptf1a	0.45401400585413015	8326
Pwp1	0.627446471243296	4
Rad21	0.45782395051131825	14902
Rad23b	0.4663152030037632	10794
Rad51	0.47833022788831436	459
Raf1	0.45353981569932317	945
Rag1	0.4703092880110951	8833
Rag2	0.45356440852906593	11178
Rai1	0.5216559518390232	7590
Rara	0.4477166648946268	9449
Rarb	0.44445798079459375	342
Rarg	0.4508664214825533	93
Rb1	0.4309970095156261	10
Rbbp4	0.4281716950276069	917
Rbbp5	0.5023375120834199	5272
Rbfox2	0.46407762611975617	12182
Rbp2	0.5706030269579745	3
Rbpj	0.4490467940545988	10760
Rbpjl	0.475834255621769	4548
Rcor1	0.4504641915647279	7100
Rcor2	0.4605589343686357	166
Rec8	0.4832947034463309	9910
Rel	0.4179873540995253	766
Rela	0.43850001985251114	13027
Relb	0.4783962923332317	8
Rest	0.4642587960281912	9180
Rfx1	0.49059317965684174	7435
Rfx2	0.5396384795842855	1647
Rfx3	0.49689105086217106	5875
Rif1	0.4605545952437779	798
Rnf2	0.4617471923595642	14481
Rora	0.4433137951263185	1955
Rorc	0.4678459213537605	4150
Rpa1	0.427631253053427	412
Rpa2	0.435955972477312	114
Rtf1	0.5301227989456812	67
Runx1	0.4491532586853836	14011
Runx2	0.4522250660955267	12565
Runx3	0.4664445557219473	8272
Ruvbl1	0.692759871129314	4
Ruvbl2	0.6108986379733762	10
Rxra	0.4390258983615075	13963
Rybp	0.486796302163284	7461
Sall4	0.4619985574210943	5223
Sap130	0.4811337439359143	11331
Sap18	0.5417880363065447	502
Satb1	0.4554683231618699	8904
Satb2	0.5180133664930068	67
Scml2	0.5207589628041838	9
Setd1a	0.46933712444658876	12036
Setdb1	0.47669554867772024	2699
Sfmbt1	0.5328332156029274	1462
Sfmbt2	0.46644093884379667	11
Shox2	0.7277561987136708	2
Sin3a	0.45938315617907177	13587
Sin3b	0.42564436365878905	541
Sirt1	0.4671349283636106	6837
Sirt6	0.49846984011615497	2106
Sirt7	0.6116030863662413	4
Six1	0.40960511213935225	34
Six2	0.46704924228218686	8483
Six4	0.47414476597595767	9674
Smad1	0.4590965657383371	2303
Smad2	0.46533030589358054	12453
Smad3	0.4696247922643851	13146
Smad4	0.45638531146870553	12360
Smad6	0.44527073121468824	23
Smarca4	0.45399300539869475	15439
Smarca5	0.47306497026855665	7075
Smarcad1	0.3639446297465333	153
Smarcc1	0.4218992738747336	449
Smarcd1	0.44423047257516635	30
Smc1a	0.45971013103257063	13931
Smc3	0.4538468725051454	10538
Smc5	0.439624162432884	38
Smchd1	0.5824083695030157	112
Snai1	0.6589099065847085	297
Sox10	0.5024670445967017	1805
Sox11	0.4675730870592782	8718
Sox13	0.36767387447755223	5
Sox17	0.49941767594167435	953
Sox2	0.46393385904466905	13549
Sox3	0.49306679467074516	709
Sox30	0.45872899530648964	114
Sox4	0.5037264889859078	6761
Sox5	0.5614553683672507	15
Sox6	0.4594130189124453	29
Sox9	0.4688394885335212	9725
Sp1	0.46538106277791386	11356
Sp3	0.4687832092712292	12399
Sp7	0.42074444966535623	21
Sp9	0.4700824100022845	12895
Spen	0.4563330426652342	21
Spi1	0.43813366250621627	15105
Spin1	0.4871752030441532	8815
Srebf1	0.45725426978630807	11477
Srf	0.4574201813277967	11728
Srsf1	0.46683362947440954	15
Srsf2	0.48965878657033096	7
Ss18	0.43692331178304705	686
Ssrp1	0.45289581390701844	16
Stag1	0.4645473067401275	9365
Stag2	0.45986576537302654	9721
Stat1	0.4435395694866916	11990
Stat2	0.45503100218445114	9735
Stat3	0.44819026429329195	12432
Stat4	0.4625294101715148	5207
Stat5a	0.43749151219797494	12570
Stat5b	0.4579512370999965	7026
Stat6	0.4564263099245638	7141
Sumo1	0.4638116033614287	6777
Sumo2	0.46156565217383144	7174
Supt16	0.41356027065417295	459
Supt5	0.46464633290658935	9720
Supt6	0.4693841396491574	3411
Suv39h1	0.5513222919264784	2
Suv39h2	0.6707882488314332	2
Suz12	0.4751765375993928	11760
T	0.44976939445089814	811
Taf1	0.4856584083397902	21
Taf10	0.40824040826140917	635
Taf15	0.4530107155823616	1675
Taf2	0.4733459863105646	12289
Taf3	0.46411233049315564	10861
Taf7l	0.4606002415533897	10268
Taf9b	0.4703075674920208	561
Tal1	0.4547202470468985	7396
Tbl1x	0.5260056251569843	4206
Tbp	0.44722091526254937	13644
Tbpl1	0.4933613346585834	7544
Tbr1	0.521244974900066	3896
Tbx19	0.4917828879187809	3541
Tbx20	0.539309022406193	424
Tbx21	0.4633144898239269	9110
Tbx3	0.4600843265127392	10140
Tbx4	0.47555380908714007	29
Tbx5	0.4612812138572428	11079
Tcea1	0.4945601411105199	2196
Tcf12	0.458960750410301	14177
Tcf3	0.4564442998122861	13842
Tcf4	0.4552265537375707	7556
Tcf7	0.460878679658549	13855
Tcf7l1	0.6257321401493183	4
Tcf7l2	0.4784920987835431	3308
Tdg	0.4774624211067115	7862
Tead1	0.44314933860945077	6879
Tead2	0.4018555030542236	45
Tead4	0.44031386218572344	11198
Terf1	0.52304535665631	96
Terf2ip	0.5286080966386059	29
Tet1	0.4675767904349365	13272
Tet2	0.4582187182902746	11775
Tet3	0.4730751615636074	9065
Tfam	0.5057287160572969	11
Tfap2a	0.4573131408041861	8708
Tfap2c	0.4620270749190431	13846
Tfap4	0.46415844962509145	9787
Tfcp2l1	0.44967647025193735	43
Tfe3	0.4460196086774403	1649
Tgif1	0.4515670760082999	8333
Tgif2	0.48294372501997046	2704
Thap11	0.5205717334113052	785
Thra	0.5216084891645565	23
Thrb	0.4885067919977435	5
Tle1	0.5247762956242772	35
Tle3	0.4182541352595654	6690
Tlx1	0.46960775645820335	121
Tmem131	0.4671559079360406	6836
Tnni2	0.5422301642364559	2
Top1	0.5074103637943903	128
Top2a	0.7299868930526822	3
Top2b	0.5105346951321051	14
Tox	0.5011231622919279	2613
Trim28	0.47064800386689964	9577
Trim33	0.44722537203249085	8575
Trp53	0.47084721850224825	2733
Trp63	0.46398708371256064	7516
Tsc22d3	0.40528429483850975	25
Twist1	0.6758493948030198	5
Ubtf	0.46905605226923747	5708
Uhrf1	1.0	1
Usf1	0.4448571384751212	3322
Usf2	0.44503537820965844	11509
Usp16	0.5394928276070826	1689
Usp7	0.6117319101833015	9
Utf1	0.4637380362021587	14006
Vdr	0.43800851118238876	11498
Vsx2	0.42842175182847964	754
Wapl	0.44409915823236074	1110
Was	1.0	1
Wdr11	0.4804827286791867	5768
Wdr5	0.459619037927278	9558
Wdr61	0.46744073518632406	807
Wiz	0.4861117507802135	11650
Wt1	0.48158102877077413	5396
Xbp1	0.4462063499391347	7770
Yap1	0.4784314453087991	6719
Yeats4	0.4825964758735613	250
Yy1	0.48145462891133717	10488
Yy2	1.0	1
Zbtb16	0.47716282684254585	4625
Zbtb17	0.4633271232868571	3458
Zbtb2	0.5005330441441763	6141
Zbtb24	0.49551908437714887	38
Zc3h10	0.5067811653988298	3287
Zc3h11a	0.45338630990409395	3243
Zeb1	0.48980204231414404	3436
Zfp143	0.4826075990693968	4686
Zfp217	0.47076464653108874	9264
Zfp281	0.4645464671512828	13324
Zfp322a	0.5513725425735133	150
Zfp335	0.522857092969369	164
Zfp384	0.4628599845259869	14498
Zfp42	0.47740690334808744	8292
Zfp57	0.4688513491186396	11400
Zfp64	0.46740835979301065	192
Zfp708	0.5260943919605893	11
Zfpm1	0.5080119398200891	4527
Zic1	0.4505476405928577	206
Zic2	0.46496742806744845	12751
Zic3	0.4729447545843331	2268
Zkscan1	0.4743437169783879	2633
Zmiz1	0.45674498035715194	9375
Zmynd8	0.49601228309626144	2345
Zscan5b	0.5821019687260874	3
